,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,NMF_11
Cyba,0.2718512,0.048825722,0.18751176,0.22059166,0.09428517,0.2360396,0.184092,0.13213664,0.39041525,0.028614758,0.32552913,0.1909013
Vps9d1,0.044642016,0.014501296,0.026775144,0.14886616,0.023844661,0.032500803,0.068402424,0.013517402,0.056124777,0.078984715,0.09857431,0.01277761
Dbndd1,0.0,0.022444723,0.0,0.38751355,0.0,0.0,0.0,0.0,0.19223392,0.0,0.053859964,0.0
Mir22hg,0.0841153,0.0,0.10608544,0.0,0.0018497426,0.09161804,0.0002620878,0.0,0.18913518,0.0088086985,0.1438028,0.09491366
Rap1gap2,0.22435406,0.010831792,0.15654331,0.07641801,0.0,0.1218365,0.45281446,0.04174133,0.31532553,0.036739126,0.0,0.029500755
Xaf1,0.06903679,0.04108837,0.011659124,0.1861079,0.31567818,0.09794345,0.18074024,1.2380694,0.0203981,0.119671345,0.3663487,0.07743707
Polr2a,0.07112991,0.074169144,0.15938169,0.63713187,0.30907008,0.09126623,0.34731096,0.07073619,0.1535245,0.14547382,0.029741148,0.14033873
Hs3st3b1,0.02198974,0.12026966,0.09290052,0.39663178,0.07615346,0.21309915,0.18349434,0.037502807,0.0,0.10443129,0.03458097,0.054292902
Natd1,0.044831302,0.02798988,0.03602071,0.15525135,0.0030245772,0.044677388,0.19600572,0.0,0.0,0.04799436,0.0,0.053687725
Lgals9,0.0,0.03254665,0.0,0.14817625,0.018128568,0.19343098,0.4531372,1.0702571,0.18690461,0.035397388,0.02412616,0.0
Rab34,0.0,0.0013992377,0.006486133,0.27370644,0.4112762,0.0,0.0,0.1426425,0.0,0.026634833,0.121022,0.018095933
Nsrp1,0.05887173,0.05908667,0.084700026,0.52114356,0.23436353,0.02088106,0.19580695,0.092998445,0.26669893,0.09714416,0.018725114,0.09593334
Cdk5r1,0.0013024656,0.017213399,0.0,0.22865348,0.0,0.0,0.25953162,0.0,0.0,0.023159698,0.30901828,0.0
Slfn5,0.06717936,0.076084,0.09832899,0.61151326,0.1456149,0.26717234,0.46171746,0.28725162,0.08882929,0.23185465,0.06503527,0.114937074
Mmp28,0.0,0.0,0.0,0.76756376,0.0,0.0,0.0,0.0,0.0,0.08747004,0.0,0.0
Ccl5,0.78325635,0.0,0.0033109821,0.0,0.0,0.0,0.0,0.0,0.004726291,0.0,0.0036141379,1.200344
Ccl3,0.37220576,0.0,0.0,0.0,0.0,0.02990098,0.0,0.0,0.0,0.0,0.0,0.0
Ccl4,0.8717528,0.0,0.0,0.0,0.0,0.0,0.0,0.0016323294,0.0,0.0,0.0,0.3460878
Cisd3,0.20708555,0.011354017,0.12337246,0.34987938,0.037350427,0.14640997,0.073192485,0.119210444,0.33799717,0.15967204,0.20241024,0.15928918
Ikzf3,0.13993207,0.06536675,0.15978971,0.46535558,0.052782107,0.11906661,0.7315461,0.04200848,0.0843224,0.007382337,0.044289444,0.3624573
Nr1d1,4.763287e-05,0.0825912,0.51899815,0.4580112,0.031647,0.072927095,0.08950287,0.0,0.11178195,0.0836633,0.12674445,0.0
Igfbp4,0.0,0.0,0.0,0.0,0.0,0.0,0.7373433,0.0,0.0,0.0060370346,0.0,0.31531516
Ccr7,0.0,0.008483542,0.0,1.1912428,0.11811187,0.0,0.011701839,0.09754842,0.0,0.3649288,0.08331246,0.0
Ccr10,0.0,0.0,0.0,0.0,0.0,1.72411,0.0,0.0,0.0640386,0.0,0.0,0.0
Ifi35,0.07490261,0.0,0.05700386,0.31185594,0.048237063,0.16942054,0.08701504,0.9102537,0.2634179,0.100947425,0.0159244,0.16535543
